id,sensor,valor,timestamp
1,1,24.5,2024-10-27 08:00:00
2,2,60.2,2024-10-27 08:05:00
3,1,24.8,2024-10-27 08:10:00
4,3,150.0,2024-10-27 08:15:00
5,4,12.0,2024-10-27 08:20:00
6,2,61.0,2024-10-27 08:25:00
7,1,25.1,2024-10-27 08:30:00
8,5,22.0,2024-10-27 08:35:00
9,3,148.5,2024-10-27 08:40:00
10,4,15.0,2024-10-27 08:45:00
11,1,25.3,2024-10-27 08:50:00
12,2,59.8,2024-10-27 08:55:00
13,6,30.5,2024-10-27 09:00:00
14,1,25.5,2024-10-27 09:05:00
15,3,152.0,2024-10-27 09:10:00
16,4,18.0,2024-10-27 09:15:00
17,2,60.5,2024-10-27 09:20:00
18,5,21.8,2024-10-27 09:25:00
19,1,26.0,2024-10-27 09:30:00
20,6,29.9,2024-10-27 09:35:00
21,3,151.0,2024-10-27 09:40:00
22,4,20.0,2024-10-27 09:45:00
23,2,61.2,2024-10-27 09:50:00
24,1,26.2,2024-10-27 09:55:00
25,5,22.5,2024-10-27 10:00:00
26,3,153.0,2024-10-27 10:05:00
27,6,31.0,2024-10-27 10:10:00
28,4,22.0,2024-10-27 10:15:00
29,2,62.0,2024-10-27 10:20:00
30,1,26.5,2024-10-27 10:25:00
